Date;23-9-2021;;;;;;;;;;
Type;MAJOR FLAG;STOCK TYPE;QUOTE INDICATOR;GEOGRAPHIC DESCR.;GEOG DESC OF LSTNG;CURRENCY;ISIN ISSUER CTRY;NAME;FULL NAME;COMPANY NAME;ISIN CODE
749352;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AALBERTS;AALBERTS;AALBERTS NV;NL0000852564
8721AT;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ABN AMRO BANK;ABN AMRO BANK;ABN AMRO BANK NV;NL0011540547
688324;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ACCELL GROUP;ACCELL GROUP;ACCELL GROUP NV;NL0009767532
51038L;Y;EQ;S;UNITED KINGDOM;NETHERLANDS;E;GB;ACCSYS TECHNOLOGIES(AMS);ACCSYS TECHNOLOGIES(AMS);ACCSYS TECHNOLOGIES PUBLIC LIMITED COMPANY;GB00BQQFX454
9307KF;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ADYEN;ADYEN;ADYEN NV;NL0012969182
922956;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AEGON;AEGON;AEGON;NL0000303709
679622;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AFC AJAX;AFC AJAX;AFC AJAX NV;NL0000018034
912643;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AKZO NOBEL;AKZO NOBEL;AKZO NOBEL NV;NL0013267909
9278T2;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ALFEN;ALFEN;ALFEN NV;NL0012817175
68695A;Y;EQ;P;UNITED KINGDOM;NETHERLANDS;E;GB;ALLFUNDS GROUP;ALLFUNDS GROUP;ALLFUNDS GROUP PUBLIC LIMITED COMPANY;GB00BNTJ3546
932779;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ALMUNDA PROFESSIONALS;ALMUNDA PROFESSIONALS;ALMUNDA PROFESSIONALS NV;NL0010696704
289104;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ALUMEXX;ALUMEXX;ALUMEXX NV;NL0012194724
50788M;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AMG ADVD.METALLURGICAL GROUP;AMG ADVANCED METALLURGICAL GROUP;AMG ADVANCED METALLURGICAL GROUP;NL0000888691
932754;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AMSTERDAM COMMODITIES;AMSTERDAM COMMODITIES;AMSTERDAM COMMODITIES NV;NL0000313286
74517L;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;LU;APERAM;APERAM;APERAM SA;LU0569974404
301773;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ARCADIS;ARCADIS;ARCADIS NV;NL0006237562
899069;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;LU;ARCELORMITTAL;ARCELORMITTAL;ARCELORMITTAL;LU1598757687
28033R;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ARCONA PROPERTY FUND;ARCONA PROPERTY FUND;ARCONA PROPERTY FUND;NL0006311706
888051;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ASM INTERNATIONAL;ASM INTERNATIONAL;ASM INTERNATIONAL;NL0000334118
152001;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ASML HOLDING;ASML HOLDING;ASML HOLDING NV;NL0010273215
7493HR;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ASR NEDERLAND;ASR NEDERLAND;ASR NEDERLAND;NL0011872643
67889J;Y;EQ;S;AUSTRIA;NETHERLANDS;E;JE;ATRIUM EUROPEAN (AMS) RLST.;ATRIUM EUROPEAN (AMS) REAL ESTATE;ATRIUM EUROPEAN REAL ESTATE LIMITED;JE00B3DCF752
51268X;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AVANTIUM;AVANTIUM;AVANTIUM NV;NL0012047823
9278T1;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;LU;B&S GROUP;B&S GROUP;B&S GROUP SA;LU1789205884
932775;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BAM GROEP KON.;BAM GROEP KONINKLIJKE;KONINKLIJKE BAM GROEP NV;NL0000337319
7493HQ;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BASIC-FIT;BASIC-FIT;BASIC-FIT;NL0011872650
866096;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BE SEMICONDUCTOR INDUSTRIES;BE SEMICONDUCTOR INDUSTRIES;BE SEMICONDUCTOR INDUSTRIES;NL0012866412
882832;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BETER BED HOLDING;BETER BED HOLDING;BETER BED HOLDING NV;NL0000339703
922358;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BOSKALIS WESTMINSTER;BOSKALIS WESTMINSTER;KONINKLIJKE BOSKALIS WESTMINSTER NV;NL0000852580
41345F;Y;CF;P;NETHERLANDS;NETHERLANDS;E;GG;BOUSSARD & GAVAUDAN HOLDING EUR;BOUSSARD & GAVAUDAN HOLDING EUR;BOUSSARD GAVAUDAN E;GG00B1FQG453
53720W;N;CF;P;NETHERLANDS;NETHERLANDS;£;GG;BOUSSARD & GAVAUDAN HOLDING GBX;BOUSSARD & GAVAUDAN HOLDING GBX;BOUSSARD GAVAUDAN E;GG00B39VMM07
897486;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BRUNEL INTL.;BRUNEL INTERNATIONAL;BRUNEL INTERNATIONAL NV;NL0010776944
2584EN;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CLIMATE TRANSITION CAPITAL ACQUISITION I;CLIMATE TRANSITION CAPITAL ACQUISITION I;CLIMATE TRANSITION CAPITAL ACQUISITION I BV;NL0015000DC9
9271JC;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CM COM;CM COM;CM COM NV;NL0012747059
7494P5;Y;EQ;S;UNITED STATES;NETHERLANDS;E;GB;COCA COLA (AMS) EUROPACIFIC PARTNERS;COCA COLA (AMS) EUROPACIFIC PARTNERS;C-CLARIDEN EUROPACIFIC PARTNERS;GB00BDCPN049
933025;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CORBION;CORBION;CORBION;NL0010583399
87143V;Y;EQ;S;UNITED STATES;NETHERLANDS;E;NL;CORE LABORATORIES (AMS);CORE LABORATORIES (AMS);CORE LABORATORIES;NL0000200384
2583JL;Y;EQ;P;NETHERLANDS;NETHERLANDS;U$;KY;CRYSTAL PEAK ACQUISITION;CRYSTAL PEAK ACQUISITION;CRYSTAL PEAK ACQUISITION;KYG2581M1078
676629;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CTAC NM;CTAC NM;CTAC NM NV;NL0000345577
2560J3;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CTP NV;CTP NV;CTP NV;NL00150006R6
932783;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DGB GROUP;DGB GROUP;DGB GROUP NV;NL0009169515
697057;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DPA GROUP;DPA GROUP;DPA GROUP NV;NL0009197771
779426;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DSM KONINKLIJKE;DSM KONINKLIJKE;KONINKLIJKE DSM;NL0000009827
9910PA;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DUTCH STAR COMPANIES TWO;DUTCH STAR COMPANIES TWO;DUTCH STAR COMPANIES TWO BV;NL00150000S7
892007;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;EASY2PAY;EASY2PAY;EASE2PAY NV;NL0000345627
2589W3;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ENERGY TRANSITION PARTNERS;ENERGY TRANSITION PARTNERS;ENTP SHARES WI;NL0015000F82
685172;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ENVIPCO HOLDING;ENVIPCO HOLDING;ENVIPCO HOLDING NV;NL0015000GX8
99347Y;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ESG CORE INVESTMENTS;ESG CORE INVESTMENTS;ESG CORE INVESTMENTS BV;NL00150006O3
68154T;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ESPERITE;ESPERITE;ESPERITE NV;NL0009272137
32554J;Y;CF;P;UNITED KINGDOM;NETHERLANDS;E;GB;EUROCASTLE INV.;EUROCASTLE INVESTMENT;EUROCASTLE INVESTMENT LIMITED;GB00B94QM994
307406;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;EUROCOMMERCIAL PROPERTIES;EUROCOMMERCIAL PROPERTIES;EUROCOMMERCIAL DUTCH NV;NL0015000K93
2561TF;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;EUROPEAN FINTECH IPO 1;EUROPEAN FINTECH IPO 1;EUROPEAN FINTECH IPO COMPANY 1 BV;NL00150006Z9
9450K3;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;FASTNED DUTCH CERTIFICATES;FASTNED DUTCH CERTIFICATES;FASTNED BV;NL0013654809
9749G6;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;FLOW TRADERS;FLOW TRADERS;FLOW TRADERS;NL0011279492
7418LH;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;FORFARMERS;FORFARMERS;FORFARMERS;NL0011832811
307521;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;FUGRO;FUGRO;FUGRO C DUTCH CERT NV;NL00150003E1
30939T;Y;EQ;P;BELGIUM;NETHERLANDS;E;BE;GALAPAGOS;GALAPAGOS;GALAPAGOS;BE0003818359
888804;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;GEOJUNXION;GEOJUNXION;GEOJUNXION NV;NL0000430106
9310FD;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;GRANDVISION;GRANDVISION;GRANDVISION;NL0010937066
951784;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;BM;HAL TRUST;HAL TRUST;HAL TRUST NV;BMG455841020
2583JK;Y;EQ;P;GERMANY;NETHERLANDS;E;KY;HEDOSOPHIA EUROPEAN GROWTH;HEDOSOPHIA EUROPEAN GROWTH;HEDOSOPHIA EUROPEAN GROWTH;KYG4406A1022
2574AH;N;EQ;P;GERMANY;NETHERLANDS;E;KY;HEDOSOPHIA EUROPEAN GROWTH UNIT;HEDOSOPHIA EUROPEAN GROWTH UNIT;HEDOSOPHIA EUROPEAN GROWTH;KYG4406A1287
309341;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HEIJMANS;HEIJMANS;HEIJMANS NV;NL0009269109
905001;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HEINEKEN;HEINEKEN;HEINEKEN NV;NL0000009165
929708;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HEINEKEN HOLDING;HEINEKEN HOLDING;HEINEKEN HOLDING PUBLIC LIMITED COMPANY;NL0000008977
504918;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HOLLAND COLOURS;HOLLAND COLOURS;HOLLAND COLOURS NV;NL0000440311
933240;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;AN;HUNTER DOUGLAS;HUNTER DOUGLAS;HUNTER DOUGLAS;ANN4327C1220
905405;N;EQ;P;NETHERLANDS;NETHERLANDS;E;AN;HUNTER DOUGLAS PREF.;HUNTER DOUGLAS PREFERENCE;HUNTER DOUGLAS;ANN4327C1303
896676;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HYDRATEC INDUSTRIES;HYDRATEC INDUSTRIES;HYDRATEC INDUSTRIES NV;NL0009391242
998418;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;IEX GROUP;IEX GROUP;IEX GROUP;NL0010556726
8916Y6;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;IMCD GROUP;IMCD GROUP;IMCD GROUP;NL0010801007
531865;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ING GROEP;ING GROEP;ING GROEP;NL0011821202
9930PZ;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;LU;INPOST;INPOST;INPOST SA;LU2290522684
8664Y4;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;INTERTRUST;INTERTRUST;INTERTRUST GROUP HOLDING;NL0010937058
9746L8;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;JDE PEET S;JDE PEET S;JDE PEETS NV;NL0014332678
2600CP;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;JUST EAT TAKEAWAY.COM;JUST EAT TAKEAWAY.COM;JUST EAT TAKEAWAY COM NV;NL0012015705
932895;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KENDRION;KENDRION;KENDRION NV;NL0000852531
916642;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KONINKLIJKE AHOLD DELHAIZE;KONINKLIJKE AHOLD DELHAIZE;KONINKLIJKE AHOLD DELHAIZE NV;NL0011794037
899432;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KONINKLIJKE BRILL DUTCH CERTIFICATES;KONINKLIJKE BRILL DUTCH CERTIFICATES;KONINKLIJKE BRILL NV;NL0000442523
278066;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KONINKLIJKE VOPAK;KONINKLIJKE VOPAK;KONINKLIJKE VOPAK NV;NL0009432491
142440;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KPN KON;KPN KON;KONINKLIJKE KPN NV;NL0000009082
690103;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;LAVIDE HOLDING;LAVIDE HOLDING;LAVIDE HOLDING NV;NL0010545679
9293V3;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;LUCASBOLS;LUCASBOLS;LUCASBOLS;NL0010998878
9455R7;Y;EQ;S;ICELAND;NETHERLANDS;E;IS;MAREL (AMS);MAREL (AMS);MAREL HF;IS0000000388
698258;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;MKB NEDSENSE;MKB NEDSENSE;MKB NEDSENSE NV;NL0009312842
999423;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;CW;MOREFIELD GROUP;MOREFIELD GROUP;MOREFIELD GROUP;CWN814651014
932859;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;NEDAP;NEDAP;NEDAP NV;NL0000371243
86966F;Y;CF;P;NETHERLANDS;NETHERLANDS;E;NL;NEDSE. BELEGGINGSMAATSCHAPPIJ;NEDERLANDSE BELEGGINGSMAATSCHAPPIJ;NBZ CF;NL0010228730
9114HE;Y;EQ;S;SOUTH AFRICA;NETHERLANDS;E;IM;NEPI ROCKCASTLE (AMS);NEPI ROCKCASTLE (AMS);NEPI ROCKCASTLE PLC;IM00BDD7WV31
2583ZL;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;NEW AMSTERDAM INVEST;NEW AMSTERDAM INVEST;NEW AMSTERDAM INVEST NV;NL0015000CG2
741527;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;NEW SOURCES ENERGY;NEW SOURCES ENERGY;NEW SOURCES ENERGY NV;NL0009822014
741467;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;NEWAYS ELECTRONICS INTERNATIONAL;NEWAYS ELECTRONICS INTERNATIONAL;NEWAYS ELECTRIC INTERNATIONAL;NL0000440618
8914QL;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;NN GROUP;NN GROUP;NN GROUP;NL0010773842
676754;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;NSI;NSI;NSI;NL0012365084
2580MC;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;NX FILTRATION;NX FILTRATION;NX FILTRATION NV;NL0015000D50
88054J;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;OCI;OCI;OCI NV;NL0010558797
2586MU;Y;EQ;P;LUXEMBOURG;NETHERLANDS;E;LU;ODYSSEY ACQUISITION;ODYSSEY ACQUISITION;ODYSSEY SHARES WI;LU2355630455
923433;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ORANJEWOUD 'A';ORANJEWOUD 'A';ORANJEWOUD NV;NL0000370419
741609;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ORDINA;ORDINA;ORDINA NV;NL0000440584
2571D7;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;PEGASUS ACQUISITION COMPANY EUROPE;PEGASUS ACQUISITION COMPANY EUROPE;PEGASUS ACQUISITION COMPANY EUROPE BV;NL00150009D0
2571D9;N;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;PEGASUS ACQUISITION COMPANY EUROPE UNIT;PEGASUS ACQUISITION COMPANY EUROPE UNIT;PEGASUS ACQUISITION COMPANY EUROPE BV;NL00150009E8
9129W3;Y;EQ;P;NETHERLANDS;NETHERLANDS;U$;GG;PERSHING SQUARE HOLDINGS;PERSHING SQUARE HOLDINGS;PERSHING SQUARE HOLDINGS LIMITED;GG00BPFJTF46
698852;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;PHARMING GROUP;PHARMING GROUP;PHARMING GROUP NV;NL0010391025
933031;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;PHILIPS ELTN.KONINKLIJKE;PHILIPS ELECTRONICS KONINKLIJKE;KONINKLIJKE PHILIPS ELECTRONICS NA;NL0000009538
932882;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;PORCELEYNE FLES;PORCELEYNE FLES;KONINKLIJKE PORCELEYNE FLES NV;NL0000378669
681714;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;POSTNL;POSTNL;POSTNL NV;NL0009739416
95087K;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;PROSUS;PROSUS;PROSUS NV;NL0013654783
505482;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;RANDSTAD;RANDSTAD;RANDSTAD NV;NL0000379121
9216PE;Y;EQ;S;LUXEMBOURG;NETHERLANDS;E;LU;REINET INVESTMENTS (AMS) S C A;REINET INVESTMENTS (AMS) S C A;REINET INVESTMENTS SCA;LU0383812293
9330FX;Y;EQ;S;UNITED KINGDOM;NETHERLANDS;E;GB;RELX (AMS);RELX (AMS);RELX PUBLIC LIMITED COMPANY;GB00B2B0DG97
9595N1;Y;EQ;S;UNITED KINGDOM;NETHERLANDS;E;GB;RENEWI (AMS);RENEWI (AMS);RENEWI PUBLIC LIMITED COMPANY;GB00BNR4T868
923505;Y;CF;P;NETHERLANDS;NETHERLANDS;E;NL;ROBECO SUST.GLB. STARS EQTIES.FD.;ROBECO SUSTAINABLE GLOBAL STARS EQUITIES FUND;ROBECO SUSTAINABLE GLOBAL STARS;NL0000289783
916368;Y;CF;P;NETHERLANDS;NETHERLANDS;E;NL;ROLINCO;ROLINCO;ROLINCO NV;NL0000289817
749354;N;CF;P;NETHERLANDS;NETHERLANDS;E;NL;ROLINCO 6.5% CUM.PF.;ROLINCO 6.5% CUMULATIVE PREFERRED;ROLINCO NV;NL0000288736
741499;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ROODMICROTEC;ROODMICROTEC;ROODMICROTEC NV;NL0000440477
933718;Y;CF;P;NETHERLANDS;NETHERLANDS;E;LU;RORENTO DH EUR ICVC;RORENTO DH EUR ICVC;RORENTO DH SA;LU0934195610
902178;Y;EQ;P;UNITED KINGDOM;NETHERLANDS;E;GB;ROYAL DUTCH SHELL A;ROYAL DUTCH SHELL A;ROYAL DUTCH SHELL;GB00B03MLX29
31404W;Y;EQ;S;UNITED KINGDOM;NETHERLANDS;E;GB;ROYAL DUTCH SHELL B(AMS);ROYAL DUTCH SHELL B(AMS);ROYAL DUTCH SHELL PUBLIC LIMITED COMPANY;GB00B03MM408
916775;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;SBM OFFSHORE;SBM OFFSHORE;SBM OFFSHORE NV;NL0000360618
8900MR;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;SIF HOLDING;SIF HOLDING;SIF HOLDING;NL0011660485
7418Z9;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;SIGNIFY;SIGNIFY;SIGNIFY NV;NL0011821392
504959;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;SLIGRO FOOD GROUP;SLIGRO FOOD GROUP;SLIGRO FOOD GROUP NV;NL0000817179
308444;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;SNOWWORLD;SNOWWORLD;SNOWWORLD;NL0010627865
932773;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;STERN GROEP;STERN GROEP;STERN GROEP NV;NL0000336303
50428P;Y;CF;P;UNITED KINGDOM;NETHERLANDS;U$;GG;TETRAGON FINANCIAL GROUP;TETRAGON FINANCIAL GROUP;TETRAGON FINANCIAL GROUP LIMITED;GG00B1RMC548
54248T;N;EQ;S;UNITED STATES;NETHERLANDS;U$;VG;THUNDERBIRD RESORTS(AMS);THUNDERBIRD RESORTS(AMS);THUNDERBIRD RESORTS INCORPORATED;VGG885761061
276825;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;TIE KINETIX;TIE KINETIX;TIE KINETIX NV;NL0010389508
932903;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;TKH GROUP;TKH GROUP;TKH GROUP NV DUTCH CERTIFICATE;NL0000852523
31102D;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;TOM TOM;TOM TOM;TOM TOM NV;NL0013332471
932422;Y;EQ;P;FRANCE;NETHERLANDS;E;FR;UNIBAIL RODAMCO WE STAPLED UNITS;UNIBAIL RODAMCO WE STAPLED UNITS;WFD UNIBAIL RODAMCO NV;FR0013326246
9912P0;Y;EQ;S;UNITED KINGDOM;NETHERLANDS;E;GB;UNILEVER (UK) (AMS);UNILEVER (UK) (AMS);UNILEVER PUBLIC LIMITED COMPANY;GB00B10RZP78
719610;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;VALUE8;VALUE8;VALUE8 NV;NL0010661864
86661F;N;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;VALUE8 PF.SHS.;VALUE8 PREFERRED SHARES;VALUE8 NV;NL0015118803
2589HW;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;VAM INVEST SHARES WI;VAM INVEST SHARES WI;VAM INVEST SHARES WI;NL0015000G40
670375;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;VAN LANSCHOT KEMPEN;VAN LANSCHOT KEMPEN;VAN LANSCHOT KEMPEN NV;NL0000302636
756826;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;VASTNED RETAIL;VASTNED RETAIL;VASTNED RETAIL NV;NL0000288918
9060CK;N;EQ;P;NETHERLANDS;NETHERLANDS;E;BM;VEON;VEON;VEON LIMITED;BMG9349W1038
9166LC;Y;EQ;P;GERMANY;NETHERLANDS;E;NL;VIVORYON THERAPEUTICS;VIVORYON THERAPEUTICS;VIVORYON THERAPEUTICS NV;NL00150002Q7
414833;Y;CF;P;UNITED KINGDOM;NETHERLANDS;E;GG;VOLTA FINANCE LIMITED;VOLTA FINANCE LIMITED;VOLTA FINANCE;GG00B1GHHH78
923388;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;WERELDHAVE;WERELDHAVE;WERELDHAVE NV;NL0000289213
932826;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;WOLTERS KLUWER;WOLTERS KLUWER;WOLTERS KLUWER NV;NL0000395903
414625;Y;EQ;P;JERSEY;NETHERLANDS;E;JE;YATRA CAPITAL LIMITED;YATRA CAPITAL LIMITED;YATRA CAPITAL LIMITED;JE00B1FBT077
2603VJ;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;UNIVERSAL MUSIC GROUP;UNIVERSAL MUSIC GROUP;UNIVERSAL MUSIC GROUP NV;NL0015000IY2
